Original String,Last 9 Digits
https://www.newlook.com/row/womens/clothing/loungewear/ony-pale-grey-fleece-oversized-unisex-blanket-hoodie/p/835623202,835623202
https://www.newlook.com/row/mens/clothing/t-shirts/white-short-sleeve-collared-polo-shirt/p/834158110,834158110
https://www.newlook.com/row/mens/clothing/jackets-coats/dark-grey-denim-western-jacket/p/833260503,833260503
https://www.newlook.com/row/mens/clothing/jackets-coats/black-denim-western-jacket/p/833260501,833260501
https://www.newlook.com/row/mens/clothing/jackets-coats/black-denim-jersey-sleeve-hooded-jacket/p/833211301,833211301
https://www.newlook.com/row/mens/accessories/5-pack-white-ribbed-ankle-socks/p/831081410,831081410
https://www.newlook.com/row/mens/accessories/5-pack-black-ribbed-ankle-socks/p/831081401,831081401
https://www.newlook.com/row/mens/clothing/jackets-coats/blue-denim-borg-collared-jacket/p/828966740,828966740
https://www.newlook.com/row/mens/clothing/shirts/khaki-poplin-long-sleeve-muscle-fit-shirt/p/827856434,827856434
https://www.newlook.com/row/mens/clothing/jackets-coats/black-faux-fur-trim-hooded-parka-jacket/p/826097201,826097201
https://www.newlook.com/row/mens/clothing/jackets-coats/blue-colour-block-hooded-puffer-jacket/p/826039240,826039240
https://www.newlook.com/row/mens/clothing/jackets-coats/khaki-long-sleeve-hooded-puffer-jacket/p/826035634,826035634
https://www.newlook.com/row/mens/clothing/jackets-coats/grey-long-sleeve-hooded-puffer-jacket/p/826035603,826035603
https://www.newlook.com/row/mens/clothing/nightwear/threadbare-navy-cotton-trouser-pyjama-set-with-embroidered-logo/p/882832841,882832841
https://www.newlook.com/row/mens/clothing/nightwear/threadbare-2-pack-black-cotton-check-pyjama-bottoms/p/882832609,882832609
https://www.newlook.com/row/mens/clothing/nightwear/threadbare-light-grey-trouser-pyjama-set-with-embroidered-logo/p/882832508,882832508
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-black-zip-up-high-neck-embroidered-jacket/p/882832401,882832401
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-black-hooded-padded-gilet/p/882827401,882827401
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-khaki-padded-zip-through-gilet/p/882827334,882827334
